term,indicator,glossed_as,page,pre_context,post_context
H,off,§ 267. Hoe zeer wij,#+ NL-HaNA_1.04.02_10000_0027.xml,om in tegendeel dat,"§ 267. Hoe zeer wij tog met uE be„ grijpen,"
nelie,of,"in geld voldoen, eenige vermin„",#+ NL-HaNA_1.04.02_10000_0029.xml,agterstal het zij met,"in geld voldoen, eenige vermin„ wenschen wij, dat dien tak"
wanias,of,"Leeuheeren op hunne verpligte leverancien,",#+ NL-HaNA_1.04.02_10000_0029.xml,de agterstae„ een der,"Leeuheeren op hunne verpligte leverancien, die men al vrij hoog"
bengaalse,of,"kust rijst te leveren, om",#+ NL-HaNA_1.04.02_10000_0030.xml,800. tot 1000. lasten,"kust rijst te leveren, om niet sjan„ koosen te worden"
Blinne,of,uit de besittingen van den,#+ NL-HaNA_1.04.02_10000_0030.xml,Tjankoos door den burger,uit de besittingen van den geweesen Heer directeur Ross te
overweegen,of,"de verpag„ ting voordeeliger zij,",#+ NL-HaNA_1.04.02_10000_0030.xml,vreede nader rijpelijk zouden,"de verpag„ ting voordeeliger zij, moeten wij den uitslag daar"
8.,of,wel ƒ126828: 17. 8. minder,#+ NL-HaNA_1.04.02_10000_0032.xml,bedraagen dan ƒ159337. 10.,wel ƒ126828: 17. 8. minder dan die van het voorige
voorgekoomen,of,men zulks heeft kunnen brengen,#+ NL-HaNA_1.04.02_10000_0033.xml,ons vrij bedenke„ lijk,men zulks heeft kunnen brengen onder het classis van onvoorsiene
36¾.,of,zoo veel hij geduurende desselfs,#+ NL-HaNA_1.04.02_10000_0034.xml,betaalen van rd:s 7250.,"zoo veel hij geduurende desselfs pagt tijd, na afsrek der"
laaten,of,de middelen welke de Minstens,#+ NL-HaNA_1.04.02_10000_0035.xml,aan de uitkomst bevoolen,de middelen welke de Minstens den ontvanger van compagnies doma
8.,of,ƒ166122. 6. -. boven die,#+ NL-HaNA_1.04.02_10000_0038.xml,som van ƒ1363332. 15.,"ƒ166122. 6. -. boven die van het voorige Jaar, terwijl"
wiinig,of,"niets gedaan is, wae„ ter",#+ NL-HaNA_1.04.02_10000_0041.xml,tijding van daar van,"niets gedaan is, wae„ ter eenemael ingevallen. Immers volgens het"
nalaatigheid,of,eenige andere §297. Wij voor,#+ NL-HaNA_1.04.02_10000_0043.xml,zo daar omtrend eenige,eenige andere §297. Wij voor ons zijn geheel buijten staat
kolombo,of,"Gale konden komen, moesten ze",#+ NL-HaNA_1.04.02_10000_0045.xml,buiten des niet na,"Gale konden komen, moesten ze te Trinkono„ male blijven leggen"
afwagten,of,zig somtijds de vijandelijke vloot,#+ NL-HaNA_1.04.02_10000_0045.xml,leggen en den tijd,zig somtijds de vijandelijke vloot van de kust chormandel mogte
En,of,Schoon eenige deselve als voor,#+ NL-HaNA_1.04.02_10000_0051.xml,hun niet heeft afgehangen.,Schoon eenige deselve als voor de Maatschappeije vrijbe„ swaarende kunnen
hebben,of,zij volkoo„ me zeekerheid hadden;,#+ NL-HaNA_1.04.02_10000_0052.xml,"vergeleeken, en wel ondersogt","zij volkoo„ me zeekerheid hadden; dat in derselver goedvinden, zoo"
zijnde,of,het niet best waare die,#+ NL-HaNA_1.04.02_10000_0052.xml,ministers in bedenking gegeeven,het niet best waare die munterij aldaar op den duur
voorgesteld,of,de gemeensaame verkeering van waar,#+ NL-HaNA_1.04.02_10000_0054.xml,vraa¬ gender wijse is,de gemeensaame verkeering van waar den #+ ---
was,of,de §315. Op de uitgeleeverde,#+ NL-HaNA_1.04.02_10000_0056.xml,dewelke het zeer bedenkelijk,de §315. Op de uitgeleeverde laading te Putukorijn van het
vonnissen,of,andersins eenige betaalin„ gen gedaan,#+ NL-HaNA_1.04.02_10000_0059.xml,de uit kragte van,andersins eenige betaalin„ gen gedaan wierden van gelden die volgens
bedenkingen,of,en op wat voet voorseide,#+ NL-HaNA_1.04.02_10000_0060.xml,zijn gediend van uwe,en op wat voet voorseide middel tot ondersteuning van 's
Nagepatnam,of,den Gesagheb„ ber van Chormandel,#+ NL-HaNA_1.04.02_10000_0077.xml,de overgebleevene raadsleeden van,den Gesagheb„ ber van Chormandel dE: Blaauwka„ mer onderhouden noopens
min,of,meer bedorven is. Deese asijn,#+ NL-HaNA_1.04.02_10000_0082.xml,"gebruikt, de lugt altoos",meer bedorven is. Deese asijn heeft boven dien nog de
bevoorens,of,voor den oorlog te laaten,#+ NL-HaNA_1.04.02_10000_0091.xml,van arreek weder als,voor den oorlog te laaten verpagten. wederom het. #+ ---
gemeed,off,tagtig ropijen het last. d=o,#+ NL-HaNA_1.04.02_10000_0095.xml,roppijen de zak met,tagtig ropijen het last. d=o hier bij /§ 71. voorts
P:s,of,Inkoop Het lb: p=s of,#+ NL-HaNA_1.04.02_10000_0100.xml,Sijne Specerijen Perceulons Hellb:,Inkoop Het lb: p=s of verkoops het winst 9073. 3/8.
p=s,of,verkoops het winst 9073. 3/8.,#+ NL-HaNA_1.04.02_10000_0100.xml,of Inkoop Het lb:,verkoops het winst 9073. 3/8. lb: Tarrioffel Nagulen - 1188.
Foelie,of,Macis - - - 4892.,#+ NL-HaNA_1.04.02_10000_0100.xml,- 1188. ¾: „,Macis - - - 4892. 3/16. „ Nooten Musshaeten 14.
p:s,of,Inkoops Het ld: p:s of,#+ NL-HaNA_1.04.02_10000_0100.xml,ƒ56090. 14 Het ld:,Inkoops Het ld: p:s of verkoops Winst Percentos. het geheel
p:s,of,verkoops Winst Percentos. het geheel,#+ NL-HaNA_1.04.02_10000_0100.xml,of Inkoops Het ld:,verkoops Winst Percentos. het geheel ct @ Vaderlandsche Koopmanschappen. het
P:s,of,verkoops Het lb: P: of,#+ NL-HaNA_1.04.02_10000_0101.xml,Percentos. s tht lb:,verkoops Het lb: P: of Inkoops het geheel het geheel
P:,of,Inkoops het geheel het geheel,#+ NL-HaNA_1.04.02_10000_0101.xml,of verkoops Het lb:,Inkoops het geheel het geheel —. 13. 4. „ Het
P:,of,verkoops. —. 5. —„ —.,#+ NL-HaNA_1.04.02_10000_0101.xml,4. „ Het lb:,verkoops. —. 5. —„ —. 2. 8. - - -
P:r,of,Inkoops Ca ƒ79375. 4. 8.,#+ NL-HaNA_1.04.02_10000_0102.xml,het geheel Het ld:,Inkoops Ca ƒ79375. 4. 8. ƒ 31326. 2. 8. het
P:r,of,verkoops winst 63. 19. -.,#+ NL-HaNA_1.04.02_10000_0102.xml,het geheel Het lb:,verkoops winst 63. 19. -. 22. 13. 8. 1946: 13:
P:o,of,Inkoops het Het lb: E:s,#+ NL-HaNA_1.04.02_10000_0103.xml,8. s 't lb:,Inkoops het Het lb: E:s of verkoops geheel @ 1
E:s,of,verkoops geheel @ 1 —.,#+ NL-HaNA_1.04.02_10000_0103.xml,Inkoops het Het lb:,verkoops geheel @ 1 —. 1. — 82. 17. —
pag:s,of,ƒ 4. 4. Nederl:s Geld.,#+ NL-HaNA_1.04.02_10000_0105.xml,lb: Nagelen 1 1/3:,ƒ 4. 4. Nederl:s Geld. 1. „ Nooten — 2/3
kostende,of,rep:s 3½. § 66. De,#+ NL-HaNA_1.04.02_10000_0106.xml,draggt het gewoone uitkoops,"rep:s 3½. § 66. De Domainen, hebben bij de gehou„"
wannijs,of,van §8 de Bij resolutie,#+ NL-HaNA_1.04.02_10000_0107.xml,van den boord der,van §8 de Bij resolutie van den 6. augustus hebben
penningen,of,boete der inwoonders te Iaffenapatnam,#+ NL-HaNA_1.04.02_10000_0110.xml,13. §96 De chikos,boete der inwoonders te Iaffenapatnam die hun verpligten oelie dienst
post,of,het agterstal der dorpelingen van,#+ NL-HaNA_1.04.02_10000_0116.xml,zo ook de vierde,het agterstal der dorpelingen van Tutukozijn wee„ gens hun tribut
Trois,of,100 / g marken fijn,#+ NL-HaNA_1.04.02_10000_0117.xml,van 1413 1/130. marken,100 / g marken fijn goud gelijk nader blijkt bij
smits,of,munters - P /: 3.,#+ NL-HaNA_1.04.02_10000_0119.xml,2 6/8 voor silver,munters - P /: 3. 1. — „ den schrijver
schrijver,of,kannekappel „ —. 2. —,#+ NL-HaNA_1.04.02_10000_0119.xml,1. — „ den,kannekappel „ —. 2. — „ – „ smelter of
smelter,of,koperslager - „ —. 1.,#+ NL-HaNA_1.04.02_10000_0119.xml,— „ – „,koperslager - „ —. 1. ¼. zijn pag: 3. 5.
–,of,de derde parthij en derde,#+ NL-HaNA_1.04.02_10000_0119.xml,maaken trois 300. –.,de derde parthij en derde vermunting zijn marken fijn 230.
–,of,de eerste parthij en eerste,#+ NL-HaNA_1.04.02_10000_0119.xml,mark trois 500. –.,de eerste parthij en eerste vermunting zijn maaken fijn 384.
1/120,of,"de tweede, parthij en tweede",#+ NL-HaNA_1.04.02_10000_0119.xml,voorschrevene mark trois 70.,"de tweede, parthij en tweede vermunting zijn marken fijn 1787495."
–.,of,de vierde partij en vierde,#+ NL-HaNA_1.04.02_10000_0120.xml,marken trois 300. –.,de vierde partij en vierde vermunting zijn marken sijn 230.
2/64.,of,de vijfde partij en vijffde,#+ NL-HaNA_1.04.02_10000_0120.xml,voorschreevene marken troit 24,de vijfde partij en vijffde vermunting zijn maaken sijn 186.
goud,of,de vijff vermunting van 10,#+ NL-HaNA_1.04.02_10000_0120.xml,7. Geevende deese partijen,de vijff vermunting van 10 /4 part: en winst van
ruim,of,ƒ 13705. 9. 6. Pr,#+ NL-HaNA_1.04.02_10000_0120.xml,van 3. 5/16. prC=to,ƒ 13705. 9. 6. Pr Transport. . . . .
wij,of,"het opneemen wilde, en om",#+ NL-HaNA_1.04.02_10000_0122.xml,ontvangen: zoo heb„ ben,"het opneemen wilde, en om de Tutukorijnsche bediendens te meer"
agt,of,agt en een derde Engelsch,#+ NL-HaNA_1.04.02_10000_0122.xml,was het ook tot,agt en een derde Engelsch schelling dog is niets inge„
slegten,of,ten minsten in practicabel maaken,#+ NL-HaNA_1.04.02_10000_0129.xml,Pale ins onderheed het,ten minsten in practicabel maaken van de hoogtens die kort
Een,of,of #+ ---,#+ NL-HaNA_1.04.02_10000_0132.xml,is aan de den.,of #+ ---
of,of,#+ --- #+ ---,#+ NL-HaNA_1.04.02_10000_0132.xml,aan de den. Een,#+ ---
onderrigt,of,deese verstrekkingen moes„ ten gebragt,#+ NL-HaNA_1.04.02_10000_0149.xml,dier tijd niet volkoomen,deese verstrekkingen moes„ ten gebragt worden ten lasten van de
zeeker,of,ingevolge de ordre van uw,#+ NL-HaNA_1.04.02_10000_0155.xml,171. we waaren niet,ingevolge de ordre van uw Hoog Edelheden de 100. rb:s
Singaleeschen,off,"Mallebaaren zijn, bestaan; en dan",#+ NL-HaNA_1.04.02_10000_0168.xml,"Jongelin„ gen, dat werkelijke","Mallebaaren zijn, bestaan; en dan zoude den geheelen omslag van"
Diaconen,of,"in het geheel niet, of",#+ NL-HaNA_1.04.02_10000_0169.xml,"gevonden worden, die door","in het geheel niet, of niet zodanig kunnen worden on„"
niet,of,niet zodanig kunnen worden on„,#+ NL-HaNA_1.04.02_10000_0169.xml,of in het geheel,niet zodanig kunnen worden on„ der houden dat eerstgemelde hun
toedoen,of,"nalaatigheid ver„ oorsaakt, alleenig maar",#+ NL-HaNA_1.04.02_10000_0169.xml,"der pupillen, zonder iemands","nalaatigheid ver„ oorsaakt, alleenig maar uit de in het ver„"
H,off,bedeeld. en helf daar op,#+ NL-HaNA_1.04.02_10000_0185.xml,te trinkonomale aan het,bedeeld. en helf daar op een brief in aant= „voord
overgenoomen,of,deese Eduard chan heeft duijdelijk,#+ NL-HaNA_1.04.02_10000_0188.xml,kennen. wij hadden naauwelijks,"deese Eduard chan heeft duijdelijk laaten bleijken, dat hij van"
berigten,of,deese zaak eenig gevolg gehad,#+ NL-HaNA_1.04.02_10000_0192.xml,bij een volgende gelegenheid,"deese zaak eenig gevolg gehad heeft. worden, een om de"
gissinge,of,den streuver is om hals,#+ NL-HaNA_1.04.02_10000_0193.xml,dat men van de,"den streuver is om hals gebragt, of in stiete zig"
gebragt,of,in stiete zig na Madras,#+ NL-HaNA_1.04.02_10000_0193.xml,streuver is om hals,"in stiete zig na Madras heeft begeeven, iets met zeekerheid"
koffij,of,aanreek voor de Compagnie aan,#+ NL-HaNA_1.04.02_10000_0194.xml,"geschieden kan„ niet peper,","aanreek voor de Compagnie aan te plaaten, en wan„ neer"
sogt,of,te vooren iemand hebben toebehoord.,#+ NL-HaNA_1.04.02_10000_0195.xml,word egter eerst onder„,te vooren iemand hebben toebehoord. ƒ 241: en ins een
ontwaaringe,of,deselve door iemand bevoorens wettig,#+ NL-HaNA_1.04.02_10000_0195.xml,"laaten ondersoeken, voornamentlijk ter","deselve door iemand bevoorens wettig zijn beseeten geweest, waar door"
families,off,huisgesinnen met 519. besittingen; en,#+ NL-HaNA_1.04.02_10000_0196.xml,Gale korle beschreeven 3180.,huisgesinnen met 519. besittingen; en in de Matureesche dessavonij 5384.
landdegent,of,wie het an„ ders zoude,#+ NL-HaNA_1.04.02_10000_0198.xml,"politique dispositie, het zij","wie het an„ ders zoude moogen zijn, geene uit„ gesondert,"
Don,of,"Modliaer moeste vernieuwd worden, waer",#+ NL-HaNA_1.04.02_10000_0201.xml,zeer gebruikelijke eertitel van,"Modliaer moeste vernieuwd worden, waer voor telkens zee„ kere gratifikatie"
Don,of,"Modliaar vereerd zijn, binnen den",#+ NL-HaNA_1.04.02_10000_0202.xml,met den titel van,"Modliaar vereerd zijn, binnen den tijd van ses weeken hunne"
aanneemen,of,vernieuwen van deselve word niemand,#+ NL-HaNA_1.04.02_10000_0202.xml,"Compagnie, en tot het",vernieuwen van deselve word niemand gedwongen. Nogtans hebben wij daer
fanuuis,of,12 rd=s 's Jaars. Dat,#+ NL-HaNA_1.04.02_10000_0204.xml,Chikos geed van 18:,12 rd=s 's Jaars. Dat deese olieammers die verpligt zijn
vertoond,of,verscheide Hoofden van deselve zijn,#+ NL-HaNA_1.04.02_10000_0208.xml,in de Provincie Pannengammo,"verscheide Hoofden van deselve zijn vrijwillig bij hem gekoomen, en"
Jaffena,off,"Manaar kunnen koomen, wanneer ze",#+ NL-HaNA_1.04.02_10000_0213.xml,"wijnige dagen naar Trinkonomale,","Manaar kunnen koomen, wanneer ze daar noodig zijn, en in"
twijffel,of,het zel„ ve sal in,#+ NL-HaNA_1.04.02_10000_0213.xml,en het is geen,het zel„ ve sal in den aanstaanden merke„ lijk vergrooten
gaan,of,hem een gunstig onderhoud toe,#+ NL-HaNA_1.04.02_10000_0226.xml,kormandel te rug te,"hem een gunstig onderhoud toe te voegen, wijl het hem"
Politique,of,"andere dienaaren, als hij zon„",#+ NL-HaNA_1.04.02_10000_0236.xml,te pretendeeren boven scompagnies,"andere dienaaren, als hij zon„ der deese titel zou hebben"
overleiden,of,desersie. Htij wilde dat in,#+ NL-HaNA_1.04.02_10000_0238.xml,de dag van hun,desersie. Htij wilde dat in alle deese dingen gereedelijk zoude
zoeken,of,"te brengen, dog op den",#+ NL-HaNA_1.04.02_10000_0238.xml,"tot macoor te nomineeren,","te brengen, dog op den 18. Julij kwam hij smorgens"
geeven,of,te weegeren tot op het,#+ NL-HaNA_1.04.02_10000_0240.xml,"gevallen als desen, te",te weegeren tot op het nader welbehagen van de Heeren
was,of,de officieren met Laroche dienen,#+ NL-HaNA_1.04.02_10000_0242.xml,het de vraage niet,"de officieren met Laroche dienen wieden of niet, maar het"
wieden,of,"niet, maar het er op",#+ NL-HaNA_1.04.02_10000_0242.xml,officieren met Laroche dienen,"niet, maar het er op aankwam, of hij Gouverneur zijn"
aankwam,of,hij Gouverneur zijn agrement wilde,#+ NL-HaNA_1.04.02_10000_0242.xml,maar het er op,hij Gouverneur zijn agrement wilde geeven of weigeren. dat hij
geeven,of,weigeren. dat hij dit laatste,#+ NL-HaNA_1.04.02_10000_0242.xml,Gouverneur zijn agrement wilde,"weigeren. dat hij dit laatste hadde gedaen, en bij dee„"
luxemburg,of,dit bovenstaende nog niet genoeg,#+ NL-HaNA_1.04.02_10000_0250.xml,aan den prins van,dit bovenstaende nog niet genoeg was vind men met zijn
snaphaanen,of,"andere waepentingen meede gebragt hebben,",#+ NL-HaNA_1.04.02_10000_0259.xml,"overgekomene rekruten, die geen","andere waepentingen meede gebragt hebben, deselve hebben laeten verstrek„ ken"
als,of,'t de Caab de Goede,#+ NL-HaNA_1.04.02_10001_0014.xml,"schip laaten provian„ deeren,","'t de Caab de Goede Hoop, noch S:t Helena, niet"
tegeeven,of,"niet te geeven, naar dat",#+ NL-HaNA_1.04.02_10001_0015.xml,de gewoone pre„ mie,"niet te geeven, naar dat hoogst dezelven het zul„ len"
minderheid,of,gezonken of in zee gedreeven,#+ NL-HaNA_1.04.02_10001_0017.xml,zoo dat de voorsch:,"gezonken of in zee gedreeven zijn, behalven twee stuks die"
gezonken,of,"in zee gedreeven zijn, behalven",#+ NL-HaNA_1.04.02_10001_0017.xml,de voorsch: minderheid of,"in zee gedreeven zijn, behalven twee stuks die nader opge„"
erven,of,gemagtigdens tot den ontvangst bij,#+ NL-HaNA_1.04.02_10001_0019.xml,aan de natemeldene hunne,gemagtigdens tot den ontvangst bij eene Notarieele of geregtelijk gepasseerde
Notarieele,of,geregtelijk gepasseerde procuratie behoorlijk gequalificeerd,#+ NL-HaNA_1.04.02_10001_0019.xml,den ontvangst bij eene,geregtelijk gepasseerde procuratie behoorlijk gequalificeerd weder uitgekeerd en voldaan te
verzoeken,of,"men aan den dispencier, op",#+ NL-HaNA_1.04.02_10001_0032.xml,Edelheeden g'eerde dispositie te,"men aan den dispencier, op de met dezen bodem ontvangene"
wel,of,"men, na dat de geheele",#+ NL-HaNA_1.04.02_10001_0032.xml,"vermelde 200. lb:, dan","men, na dat de geheele parthij zal uitgewoogen zijn, het"
bruto,of,30. lb: tarra per kanassers,#+ NL-HaNA_1.04.02_10001_0033.xml,gen met 10688. lb:,30. lb: tarra per kanassers lb: 9998:—: dus netto inhoudende
achtb:,of,ze mede ten laste der,#+ NL-HaNA_1.04.02_10001_0033.xml,van uwel Edele Groot,ze mede ten laste der winst reek: afgeschree„ ven en
voor,of,ider kist met een goeni,#+ NL-HaNA_1.04.02_10001_0033.xml,de wal te brengen,ider kist met een goeni zak is voorzien en met
Jder-,of,schoon deeze verspilling 4 7/8.,#+ NL-HaNA_1.04.02_10001_0033.xml,2. wan 3. d:m,schoon deeze verspilling 4 7/8. pr C. o schaars minder
achtb:,of,"de bekend making naar Nederland,",#+ NL-HaNA_1.04.02_10001_0033.xml,aan uwel Edele groot,"de bekend making naar Nederland, om de aangehaalde reede hier"
achtb:,of,nien 't minder geleverde dat,#+ NL-HaNA_1.04.02_10001_0033.xml,van uwel Edele groot,nien 't minder geleverde dat speculaatsie verdiend naar Batavia na
wel,of,broos bij aanbreng bevonden worden.,#+ NL-HaNA_1.04.02_10001_0034.xml,"bepaelen, naar dat dezelven",broos bij aanbreng bevonden worden. En zoo het in dit
schaars,of,20. p:s vergoeden. uit 't,#+ NL-HaNA_1.04.02_10001_0034.xml,3/8. p. r Co,20. p:s vergoeden. uit 't vaderland voor reek: van de
dog,of,de overheeden het overige zullen,#+ NL-HaNA_1.04.02_10001_0035.xml,dan 12. p.:r C:o,de overheeden het overige zullen moeten vergoeden verwagt de on„
ontstaan,of,schoon de 15: parras Nelie,#+ NL-HaNA_1.04.02_10001_0035.xml,dese te kont kominge,"schoon de 15: parras Nelie onverstrekbaer zijn, nogtans zullen ze"
leggen,of,"door de stroom weggedreeven zijn,",#+ NL-HaNA_1.04.02_10001_0040.xml,zee hoofd gezonken moesten,"door de stroom weggedreeven zijn, te meer wijl nu eenige"
afgescheep,of,aan de wal gebragt word.,#+ NL-HaNA_1.04.02_10001_0041.xml,kunnen toezien wat er,aan de wal gebragt word. Nog is ingekoomen een bericht
rezoluutien,of,bevindingen te gelijk ook herwaards,#+ NL-HaNA_1.04.02_10001_0042.xml,de laedingen neevens hunne,bevindingen te gelijk ook herwaards moeten zenden de verklaaringen of
verklaaringen,of,rapporten van de gecommit„ „teerdens,#+ NL-HaNA_1.04.02_10001_0042.xml,herwaards moeten zenden de,rapporten van de gecommit„ „teerdens die indien de minderheeden geen
vellen,of,in 't geheel - -,#+ NL-HaNA_1.04.02_10001_0045.xml,vellen dus minder &,in 't geheel - - - - - - -
vellen,of,in 't geheel boek 1:,#+ NL-HaNA_1.04.02_10001_0045.xml,boek dus minder 2,in 't geheel boek 1: 2/3: Fijn florentijns Lak in
Erven,of,gemag„ tigdens tot den ontvangst,#+ NL-HaNA_1.04.02_10001_0048.xml,aan de natemeldenen hunne,gemag„ tigdens tot den ontvangst bij eene Notarieele of geregtelijk
Notarieele,of,"geregtelijk gepasseerde Procuratie behoorlijk gequalificeerd,",#+ NL-HaNA_1.04.02_10001_0048.xml,den ontvangst bij eene,"geregtelijk gepasseerde Procuratie behoorlijk gequalificeerd, weder uitgekeerd en voldaan te"
steenen,of,duiken zoo als bij het,#+ NL-HaNA_1.04.02_10001_0055.xml,tonij zullen zijn 5.,duiken zoo als bij het met de Heer Dott gemaek
als,of,t de Caab de goede,#+ NL-HaNA_1.04.02_10001_0069.xml,"dit schip laaten provianderen,","t de Caab de goede Hoop, nog S=t Helena, niet"
geeven,off,niet geeven van de gewoone,#+ NL-HaNA_1.04.02_10001_0070.xml,ze zig nopens het,niet geeven van de gewoone premie zullen moeten laten wel
gezonken,of,"in zee gedreeven zijn, behalven",#+ NL-HaNA_1.04.02_10001_0071.xml,de voorschr: minderheid af,"in zee gedreeven zijn, behalven twee stuks die nader op"
gebruikt,of,na een vreemde haven in,#+ NL-HaNA_1.04.02_10001_0103.xml,tot binnenland- sche tochten,"na een vreemde haven in Europa gezonden mag wor- den,"
Confusie,of,zedert bij de herstelling van,#+ NL-HaNA_1.04.02_10001_0105.xml,deeze oogenblik= ken van,"zedert bij de herstelling van de verwarring, die daar door"
vijf,of,ten minsten drie jaaren te,#+ NL-HaNA_1.04.02_10001_0116.xml,een nieuw verband van,"ten minsten drie jaaren te doen aangaan, heeft ook den"
Collonel,of,Commandee¬ rende officier van dat,#+ NL-HaNA_1.04.02_10001_0116.xml,Gouverneur aan de Heer,Commandee¬ rende officier van dat Regiment op den 31. '
genomen,of,daart bij het een of,#+ NL-HaNA_1.04.02_10001_0117.xml,betreffende het zelve Regiment,daart bij het een of ander voorkomen mogt dat uwel
een,of,ander voorkomen mogt dat uwel,#+ NL-HaNA_1.04.02_10001_0117.xml,of daart bij het,"ander voorkomen mogt dat uwel Ed:s meenen zouden, tot der„"
deeze,of,uijtterlijk tegens medie van de,#+ NL-HaNA_1.04.02_10001_0131.xml,tegens het laatst van,"uijtterlijk tegens medie van de aanstaande maand, zal kunnen geschieden."
Confusie,of,zedert bij de herstelling van,#+ NL-HaNA_1.04.02_10001_0132.xml,in deeze oogenblikken van,"zedert bij de herstelling van de werwarring, die daardoor in"
lb,of,1 rol hollands Zijldoek -,#+ NL-HaNA_1.04.02_10001_0146.xml,- - 48 —,1 rol hollands Zijldoek - - - - - 12
herwaarts,of,"en aen kaapkom„ „merijn, heeft",#+ NL-HaNA_1.04.02_10002_0005.xml,te„ rug keeren na,"en aen kaapkom„ „merijn, heeft dit schip zo sware en"
min,of,"meer te doen hebben, zoo",#+ NL-HaNA_1.04.02_10002_0010.xml,"plaet= sen in Jndien,","meer te doen hebben, zoo hebben we de vrijheid gebruijkt"
beveelen,of,we namentlijk dat in den,#+ NL-HaNA_1.04.02_10002_0010.xml,Hoogst der zelve g'eerde,"we namentlijk dat in den aanstaende wijgeren zullen, dan wel"
wel,of,het in bezondere geleegentheeden en,#+ NL-HaNA_1.04.02_10002_0010.xml,"aanstaende wijgeren zullen, dan",het in bezondere geleegentheeden en wanneer het zonder ongemak geschieden
afgelaaden,of,ze somtijds voor den handel,#+ NL-HaNA_1.04.02_10002_0011.xml,zijn in brenger deezes,ze somtijds voor den handel met de manil= lische kooplieden
aangenoomen,of,dezelfde betaeling die hier de,#+ NL-HaNA_1.04.02_10002_0013.xml,voor taan moogen worden,"dezelfde betaeling die hier de gewoone oostersche troepen genieten, en"
toegestaen,of,het uw Hoog Edelh: zomtijds,#+ NL-HaNA_1.04.02_10002_0014.xml,dat dit hem is,het uw Hoog Edelh: zomtijds mogten behaa gen om het
min,of,meer een rd=e hooger komt,#+ NL-HaNA_1.04.02_10002_0015.xml,in 't land doorgaens,meer een rd=e hooger komt te staen en die weder
maaken,of,niet ten minsten de timmerlieden,#+ NL-HaNA_1.04.02_10002_0017.xml,om een overslag te,niet ten minsten de timmerlieden op 't Eiland Alle- zouden
ook,of,'t kognossement niet zijn bekend,#+ NL-HaNA_1.04.02_10002_0019.xml,waar door ze dan,'t kognossement niet zijn bekend gesteld gaat af den 5.
lukt,of,vermist en 'skomp: sloep de,#+ NL-HaNA_1.04.02_10002_0020.xml,"anker gelegen, zijn veronge",vermist en 'skomp: sloep de kaneel thum is na de
gen,of,"hij luden bij zig had,",#+ NL-HaNA_1.04.02_10002_0022.xml,gekommitteerd hem zouden vrae-,"hij luden bij zig had, die het kon den aanwijzen"
intentie,of,somtijds daar door nog iets,#+ NL-HaNA_1.04.02_10002_0022.xml,is met die gereede,"somtijds daar door nog iets konde worden ontdekt, zijnse niet"
